colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
110,6,2015-12-04,44,NA,NA,0.186112073310592,0,0.186112073310592,0,C,C,C,not bleached,406,y2
110,6,2015-12-17,44,3,0,0.0554293366640381,0,0.0554293366640381,0,C,C,C,not bleached,419,y2
110,6,2016-01-20,44,3,0,0.0496743036221698,0.00293089128657829,0.0526051949087481,0.0557148641243963,CD,C,C,not bleached,453,y2
110,6,2016-02-11,44,3,0,0.297661296676755,0,0.297661296676755,0,C,C,C,not bleached,475,y2
110,6,2016-03-31,44,NA,NA,0.12303098055217,0,0.12303098055217,0,C,C,C,not bleached,524,y2
111,2,2014-10-24,44,1,0,0.00075176048127229,NA,0.00075176048127229,0,C,C,C,bleached,0,y1
111,2,2014-11-04,44,1,1,0.000967305155032987,NA,0.000967305155032987,0,C,C,C,bleached,11,y1
111,2,2014-11-24,44,2,1,0.188221447212327,NA,0.188221447212327,0,C,C,C,bleached,31,y1
111,2,2014-12-16,44,2,2,0.221324951871585,NA,0.221324951871585,0,C,C,C,bleached,53,y1
111,2,2015-01-14,44,3,2,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
111,2,2015-05-06,44,2,2,NA,NA,NA,NA,NA,NA,NA,NA,194,y1
111,2,2015-08-11,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,291,y2
111,2,2015-09-14,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,325,y2
111,2,2015-10-01,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,342,y2
111,2,2015-10-21,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
111,2,2015-11-04,44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,376,y2
111,2,2015-12-17,44,3,2,NA,NA,NA,NA,NA,NA,NA,NA,419,y2
111,2,2016-01-20,44,3,2,NA,NA,NA,NA,NA,NA,NA,NA,453,y2
111,2,2016-02-11,44,3,2,NA,NA,NA,NA,NA,NA,NA,NA,475,y2
112,2,2014-10-24,44,3,0,0.00629289609700894,0.0617230567549567,0.0680159528519656,0.90747911580824,DC,D,D,not bleached,0,y1
112,2,2014-11-04,44,3,0,0.00507235117937142,0.079334755576734,0.0844071067561054,0.939906112479036,DC,D,D,not bleached,11,y1
112,2,2014-11-24,44,3,0,0.00181014139255787,2.20330339288239,2.20511353427495,0.999179116465242,DC,D,D,not bleached,31,y1
112,2,2014-12-16,44,3,0,0.00984267038953004,0.60826132709512,0.61810399748465,0.984076028581623,DC,D,D,not bleached,53,y1
112,2,2015-01-14,44,3,0,0.0795053532239152,1.84212042966733,1.92162578289124,0.958625995793888,DC,D,D,not bleached,82,y1
112,2,2015-05-06,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,194,y1
